T,X,Y,Z,Rx,Ry,Rz
147,0,103,-24,2191
149,0,232,-50,2071,54,-767
151,0,-1271,-147,1722,197,-174
153,0,257,-81,2235,163,-392
155,0,58,-27,2132,174,-394
157,0,103,-24,2191,77,-679
159,0,232,-50,2071,54,-767
161,0,-1271,-147,1722,197,-174
163,0,257,-81,2235,163,-392
165,0,58,-27,2132,174,-394
167,0,103,-24,2191,77,-679
169,0,232,-50,2071,54,-767
171,0,-1271,-147,1722,197,-174
173,0,257,-81,2235,163,-392
175,0,58,-27,2132,174,-394
177,0,103,-24,2191,77,-679
179,0,232,-50,2071,54,-767
181,0,-1271,-147,1722,197,-174
183,0,257,-81,2
185,0,58,-27,2132,174,-394
187,0,103,-24,2191,77,-679
189,0,232,-50,2071,54,-767
191,0,-1271,-147,1722,197,-174
193,0,257,-81,2235,163,-392
195,0,58,-27,2132,174,-394
197,0,103,-24,2191,77,-679
199,0,232,-50,2071,54,-767
201,0,-1271,-147,1722,197,-174
203,0,257,-81,2235,163,-392
205,0,58,-27,2132,174,-394
207,0,103,-24,2191,77,-679
209,0,232,-50,2071,54,-767
211,0,-1271,-147,1722,197,-174
213,0,257,-81,2235,163,-392
215,0,58,-27,2132,174,-394
217,0,103,-24,2191,77,-679
219,0,232,-50,2071,
221,0,-1271,-147,1722,197,-174
223,0,257,-81,2235,163,-392
225,0,58,-27,2132,174,-394
227,0,103,-24,2191,77,-679
229,0,232,-50,2071,54,-767
231,0,-1271,-147,1722,197,-174
233,0,257,-81,2235,163,-392
235,0,58,-27,2132,174,-394
237,0,103,-24,2191,77,-679
239,0,232,-50,2071,54,-767
241,0,-1271,-147,1722,197,-174
243,0,257,-81,2235,163,-392
245,0,58,-27,2132,174,-394
247,0,103,-24,2191,77,-679
249,0,232,-50,2071,54,-767
251,0,-1271,-147,1722,197,-174
253,0,257,-81,2235,163,-392
255,0,58,-27,2
257,0,103,-24,2191,77,-679
259,0,232,-50,2071,54,-767
261,0,-1271,-147,1722,197,-174
263,0,257,-81,2235,163,-392
265,0,58,-27,2132,174,-394
267,0,103,-24,2191,77,-679
269,0,232,-50,2071,54,-767
271,0,-1271,-147,1722,197,-174
273,0,257,-81,2235,163,-392
275,0,58,-27,2132,174,-394
277,0,103,-24,2191,77,-679
279,0,232,-50,2071,54,-767
281,0,-1271,-147,1722,197,-174
283,0,257,-81,2235,163,-392
285,0,58,-27,2132,174,-394
287,0,103,-24,2191,77,-679
289,0,232,-50,2071,54,-767
291,0,-1271,-147,17
293,0,257,-81,2235,163,-392
295,0,58,-27,2132,174,-394
297,0,103,-24,2191,77,-679
299,0,232,-50,2071,54,-767
301,0,-1271,-147,1722,197,-174
303,0,257,-81,2235,163,-392
305,0,58,-27,2132,174,-394
307,0,103,-24,2191,77,-679
309,0,232,-50,2071,54,-767
311,0,-1271,-147,1722,197,-174
313,0,257,-81,2235,163,-392
315,0,58,-27,2132,174,-394
317,0,103,-24,2191,77,-679
319,0,232,-50,2071,54,-767
321,0,-1271,-147,1722,197,-174
323,0,257,-81,2235,163,-392
325,0,58,-27,2132,174,-394
327,0,103,-24,2191
329,0,232,-50,2071,54,-767
331,0,-1271,-147,1722,197,-174
333,0,257,-81,2235,163,-392
335,0,58,-27,2132,174,-394
337,0,103,-24,2191,77,-679
339,0,232,-50,2071,54,-767
341,0,-1271,-147,1722,197,-174
343,0,257,-81,2235,163,-392
345,0,58,-27,2132,174,-394
347,0,103,-24,2191,77,-679
349,0,232,-50,2071,54,-767
351,0,-1271,-147,1722,197,-174
353,0,257,-81,2235,163,-392
355,0,58,-27,2132,174,-394
357,0,103,-24,2191,77,-679
359,0,232,-50,2071,54,-767
361,0,-1271,-147,1722,197,-174
363,0,257,-81,2
365,0,58,-27,2132,174,-394
367,0,103,-24,2191,77,-679
369,0,232,-50,2071,54,-767
371,0,-1271,-147,1722,197,-174
373,0,257,-81,2235,163,-392
375,0,58,-27,2132,174,-394
377,0,103,-24,2191,77,-679
379,0,232,-50,2071,54,-767
381,0,-1271,-147,1722,197,-174
383,0,257,-81,2235,163,-392
385,0,58,-27,2132,174,-394
387,0,103,-24,2191,77,-679
389,0,232,-50,2071,54,-767
391,0,-1271,-147,1722,197,-174
393,0,257,-81,2235,163,-392
395,0,58,-27,2132,174,-394
397,0,103,-24,2191,77,-679
399,0,232,-50,2071,
401,0,-1271,-147,1722,197,-174
403,0,257,-81,2235,163,-392
405,0,58,-27,2132,174,-394
407,0,103,-24,2191,77,-679
409,0,232,-50,2071,54,-767
411,0,-1271,-147,1722,197,-174
413,0,257,-81,2235,163,-392
415,0,58,-27,2132,174,-394
417,0,103,-24,2191,77,-679
419,0,232,-50,2071,54,-767
421,0,-1271,-147,1722,197,-174
423,0,257,-81,2235,163,-392
425,0,58,-27,2132,174,-394
427,0,103,-24,2191,77,-679
429,0,232,-50,2071,54,-767
431,0,-1271,-147,1722,197,-174
433,0,257,-81,2235,163,-392
435,0,58,-27,2
437,0,103,-24,2191,77,-679
439,0,232,-50,2071,54,-767
441,0,-1271,-147,1722,197,-174
443,0,257,-81,2235,163,-392
445,0,58,-27,2132,174,-394
447,0,103,-24,2191,77,-679
449,0,232,-50,2071,54,-767
451,0,-1271,-147,1722,197,-174
453,0,257,-81,2235,163,-392
455,0,58,-27,2132,174,-394
457,0,103,-24,2191,77,-679
459,0,232,-50,2071,54,-767
461,0,-1271,-147,1722,197,-174
463,0,257,-81,2235,163,-392
465,0,58,-27,2132,174,-394
467,0,103,-24,2191,77,-679
469,0,232,-50,2071,54,-767
471,0,-1271,-147,17
473,0,257,-81,2235,163,-392
475,0,58,-27,2132,174,-394
477,0,103,-24,2191,77,-679
479,0,232,-50,2071,54,-767
481,0,-1271,-147,1722,197,-174
483,0,257,-81,2235,163,-392
485,0,58,-27,2132,174,-394
487,0,103,-24,2191,77,-679
489,0,232,-50,2071,54,-767
491,0,-1271,-147,1722,197,-174
493,0,257,-81,2235,163,-392
495,0,58,-27,2132,174,-394
497,0,103,-24,2191,77,-679
499,0,232,-50,2071,54,-767
501,0,-1271,-147,1722,197,-174
503,0,257,-81,2235,163,-392
505,0,58,-27,2132,174,-394
507,0,103,-24,2191
509,0,232,-50,2071,54,-767
511,0,-1271,-147,1722,197,-174
513,0,257,-81,2235,163,-392
515,0,58,-27,2132,174,-394
517,0,103,-24,2191,77,-679
519,0,232,-50,2071,54,-767
521,0,-1271,-147,1722,197,-174
523,0,257,-81,2235,163,-392
525,0,58,-27,2132,174,-394
527,0,103,-24,2191,77,-679
529,0,232,-50,2071,54,-767
531,0,-1271,-147,1722,197,-174
533,0,257,-81,2235,163,-392
535,0,58,-27,2132,174,-394
537,0,103,-24,2191,77,-679
539,0,232,-50,2071,54,-767
541,0,-1271,-147,1722,197,-174
543,0,257,-81,2
545,0,58,-27,2132,174,-394
547,0,103,-24,2191,77,-679
549,0,232,-50,2071,54,-767
551,0,-1271,-147,1722,197,-174
553,0,257,-81,2235,163,-392
555,0,58,-27,2132,174,-394
557,0,103,-24,2191,77,-679
559,0,232,-50,2071,54,-767
561,0,-1271,-147,1722,197,-174
563,0,257,-81,2235,163,-392
565,0,58,-27,2132,174,-394
567,0,103,-24,2191,77,-679
569,0,232,-50,2071,54,-767
571,0,-1271,-147,1722,197,-174
573,0,257,-81,2235,163,-392
575,0,58,-27,2132,174,-394
577,0,103,-24,2191,77,-679
579,0,232,-50,2071,
581,0,-1271,-147,1722,197,-174
583,0,257,-81,2235,163,-392
585,0,58,-27,2132,174,-394
587,0,103,-24,2191,77,-679
589,0,232,-50,2071,54,-767
591,0,-1271,-147,1722,197,-174
593,0,257,-81,2235,163,-392
595,0,58,-27,2132,174,-394
597,0,103,-24,2191,77,-679
599,0,232,-50,2071,54,-767
601,0,-1271,-147,1722,197,-174
603,0,257,-81,2235,163,-392
605,0,58,-27,2132,174,-394
607,0,103,-24,2191,77,-679
609,0,232,-50,2071,54,-767
611,0,-1271,-147,1722,197,-174
613,0,257,-81,2235,163,-392
615,0,58,-27,2
617,0,103,-24,2191,77,-679
619,0,232,-50,2071,54,-767
621,0,-1271,-147,1722,197,-174
623,0,257,-81,2235,163,-392
625,0,58,-27,2132,174,-394
627,0,103,-24,2191,77,-679
629,0,232,-50,2071,54,-767
631,0,-1271,-147,1722,197,-174
633,0,257,-81,2235,163,-392
635,0,58,-27,2132,174,-394
637,0,103,-24,2191,77,-679
639,0,232,-50,2071,54,-767
641,0,-1271,-147,1722,197,-174
643,0,257,-81,2235,163,-392
645,0,58,-27,2132,174,-394
647,0,103,-24,2191,77,-679
649,0,232,-50,2071,54,-767
651,0,-1271,-147,17
653,0,257,-81,2235,163,-392
655,0,58,-27,2132,174,-394
657,0,103,-24,2191,77,-679
659,0,232,-50,2071,54,-767
661,0,-1271,-147,1722,197,-174
663,0,257,-81,2235,163,-392
665,0,58,-27,2132,174,-394
667,0,103,-24,2191,77,-679
669,0,232,-50,2071,54,-767
671,0,-1271,-147,1722,197,-174
673,0,257,-81,2235,163,-392
675,0,58,-27,2132,174,-394
677,0,103,-24,2191,77,-679
679,0,232,-50,2071,54,-767
681,0,-1271,-147,1722,197,-174
683,0,257,-81,2235,163,-392
685,0,58,-27,2132,174,-394
687,0,103,-24,2191
689,0,232,-50,2071,54,-767
691,0,-1271,-147,1722,197,-174
693,0,257,-81,2235,163,-392
695,0,58,-27,2132,174,-394
697,0,103,-24,2191,77,-679
699,0,232,-50,2071,54,-767
701,0,-1271,-147,1722,197,-174
703,0,257,-81,2235,163,-392
705,0,58,-27,2132,174,-394
707,0,103,-24,2191,77,-679
709,0,232,-50,2071,54,-767
711,0,-1271,-147,1722,197,-174
713,0,257,-81,2235,163,-392
715,0,58,-27,2132,174,-394
717,0,103,-24,2191,77,-679
719,0,232,-50,2071,54,-767
721,0,-1271,-147,1722,197,-174
723,0,257,-81,2
725,0,58,-27,2132,174,-394
727,0,103,-24,2191,77,-679
729,0,232,-50,2071,54,-767
731,0,-1271,-147,1722,197,-174
733,0,257,-81,2235,163,-392
735,0,58,-27,2132,174,-394
737,0,103,-24,2191,77,-679
739,0,232,-50,2071,54,-767
741,0,-1271,-147,1722,197,-174
743,0,257,-81,2235,163,-392
745,0,58,-27,2132,174,-394
747,0,103,-24,2191,77,-679
749,0,232,-50,2071,54,-767
751,0,-1271,-147,1722,197,-174
753,0,257,-81,2235,163,-392
755,0,58,-27,2132,174,-394
757,0,103,-24,2191,77,-679
759,0,232,-50,2071,
761,0,-1271,-147,1722,197,-174
763,0,257,-81,2235,163,-392
765,0,58,-27,2132,174,-394
767,0,103,-24,2191,77,-679
769,0,232,-50,2071,54,-767
771,0,-1271,-147,1722,197,-174
773,0,257,-81,2235,163,-392
775,0,58,-27,2132,174,-394
777,0,103,-24,2191,77,-679
779,0,232,-50,2071,54,-767
781,0,-1271,-147,1722,197,-174
783,0,257,-81,2235,163,-392
785,0,58,-27,2132,174,-394
787,0,103,-24,2191,77,-679
789,0,232,-50,2071,54,-767
791,0,-1271,-147,1722,197,-174
793,0,257,-81,2235,163,-392
795,0,58,-27,2
797,0,103,-24,2191,77,-679
799,0,232,-50,2071,54,-767
801,0,-1271,-147,1722,197,-174
803,0,257,-81,2235,163,-392
805,0,58,-27,2132,174,-394
807,0,103,-24,2191,77,-679
809,0,232,-50,2071,54,-767
811,0,-1271,-147,1722,197,-174
813,0,257,-81,2235,163,-392
815,0,58,-27,2132,174,-394
817,0,103,-24,2191,77,-679
819,0,232,-50,2071,54,-767
821,0,-1271,-147,1722,197,-174
823,0,257,-81,2235,163,-392
825,0,58,-27,2132,174,-394
827,0,103,-24,2191,77,-679
829,0,232,-50,2071,54,-767
831,0,-1271,-147,17
833,0,257,-81,2235,163,-392
835,0,58,-27,2132,174,-394
837,0,103,-24,2191,77,-679
839,0,232,-50,2071,54,-767
841,0,-1271,-147,1722,197,-174
843,0,257,-81,2235,163,-392
845,0,58,-27,2132,174,-394
847,0,103,-24,2191,77,-679
849,0,232,-50,2071,54,-767
851,0,-1271,-147,1722,197,-174
853,0,257,-81,2235,163,-392
855,0,58,-27,2132,174,-394
857,0,103,-24,2191,77,-679
859,0,232,-50,2071,54,-767
861,0,-1271,-147,1722,197,-174
863,0,257,-81,2235,163,-392
865,0,58,-27,2132,174,-394
867,0,103,-24,2191
869,0,232,-50,2071,54,-767
871,0,-1271,-147,1722,197,-174
873,0,257,-81,2235,163,-392
875,0,58,-27,2132,174,-394
877,0,103,-24,2191,77,-679
879,0,232,-50,2071,54,-767
881,0,-1271,-147,1722,197,-174
883,0,257,-81,2235,163,-392
885,0,58,-27,2132,174,-394
887,0,103,-24,2191,77,-679
889,0,232,-50,2071,54,-767
891,0,-1271,-147,1722,197,-174
893,0,257,-81,2235,163,-392
895,0,58,-27,2132,174,-394
897,0,103,-24,2191,77,-679
899,0,232,-50,2071,54,-767
901,0,-1271,-147,1722,197,-174
903,0,257,-81,2
905,0,58,-27,2132,174,-394
907,0,103,-24,2191,77,-679
909,0,232,-50,2071,54,-767
911,0,-1271,-147,1722,197,-174
913,0,257,-81,2235,163,-392
915,0,58,-27,2132,174,-394
917,0,103,-24,2191,77,-679
919,0,232,-50,2071,54,-767
921,0,-1271,-147,1722,197,-174
923,0,257,-81,2235,163,-392
925,0,58,-27,2132,174,-394
927,0,103,-24,2191,77,-679
929,0,232,-50,2071,54,-767
931,0,-1271,-147,1722,197,-174
933,0,257,-81,2235,163,-392
935,0,58,-27,2132,174,-394
937,0,103,-24,2191,77,-679
939,0,232,-50,2071,
941,0,-1271,-147,1722,197,-174
943,0,257,-81,2235,163,-392
945,0,58,-27,2132,174,-394
947,0,103,-24,2191,77,-679
949,0,232,-50,2071,54,-767
951,0,-1271,-147,1722,197,-174
953,0,257,-81,2235,163,-392
955,0,58,-27,2132,174,-394
957,0,103,-24,2191,77,-679
959,0,232,-50,2071,54,-767
961,0,-1271,-147,1722,197,-174
963,0,257,-81,2235,163,-392
965,0,58,-27,2132,174,-394
967,0,103,-24,2191,77,-679
969,0,232,-50,2071,54,-767
971,0,-1271,-147,1722,197,-174
973,0,257,-81,2235,163,-392
975,0,58,-27,2
977,0,103,-24,2191,77,-679
979,0,232,-50,2071,54,-767
981,0,-1271,-147,1722,197,-174
983,0,257,-81,2235,163,-392
985,0,58,-27,2132,174,-394
987,0,103,-24,2191,77,-679
989,0,232,-50,2071,54,-767
991,0,-1271,-147,1722,197,-174
993,0,257,-81,2235,163,-392
995,0,58,-27,2132,174,-394
997,0,103,-24,2191,77,-679
999,0,232,-50,2071,54,-767
1001,0,-1271,-147,1722,197,-174
1003,0,257,-81,2235,163,-392
1005,0,58,-27,2132,174,-394
1007,0,103,-24,2191,77,-679
1009,0,232,-50,2071,54,-767
1011,0,-1271,-
1013,0,257,-81,2235,163,-392
1015,0,58,-27,2132,174,-394
1017,0,103,-24,2191,77,-679
1019,0,232,-50,2071,54,-767
1021,0,-1271,-147,1722,197,-174
1023,0,257,-81,2235,163,-392
1025,0,58,-27,2132,174,-394
1027,0,103,-24,2191,77,-679
1029,0,232,-50,2071,54,-767
1031,0,-1271,-147,1722,197,-174
1033,0,257,-81,2235,163,-392
1035,0,58,-27,2132,174,-394
1037,0,103,-24,2191,77,-679
1039,0,232,-50,2071,54,-767
1041,0,-1271,-147,1722,197,-174
1043,0,257,-81,2235,163,-392
1045,0,58,-27,2132,174,-394
1
1049,0,232,-50,2071,54,-767
1051,0,-1271,-147,1722,197,-174
1053,0,257,-81,2235,163,-392
1055,0,58,-27,2132,174,-394
1057,0,103,-24,2191,77,-679
1059,0,232,-50,2071,54,-767
1061,0,-1271,-147,1722,197,-174
1063,0,257,-81,2235,163,-392
1065,0,58,-27,2132,174,-394
1067,0,103,-24,2191,77,-679
1069,0,232,-50,2071,54,-767
1071,0,-1271,-147,1722,197,-174
1073,0,257,-81,2235,163,-392
1075,0,58,-27,2132,174,-394
1077,0,103,-24,2191,77,-679
1079,0,232,-50,2071,54,-767
1081,0,-1271,-147,1722,197,-174
1083,0,257,-81,2235,163,-392
1085,0,58,-27,2132,174,-394
1087,0,103,-24,2191,77,-679
1089,0,232,-50,2071,54,-767
1091,0,-1271,-147,1722,197,-174
1093,0,257,-81,2235,163,-392
1095,0,58,-27,2132,174,-394
1097,0,103,-24,2191,77,-679
1099,0,232,-50,2071,54,-767
1101,0,-1271,-147,1722,197,-174
1103,0,257,-81,2235,163,-392
1105,0,58,-27,2132,174,-394
1107,0,103,-24,2191,77,-679
1109,0,232,-50,2071,54,-767
1111,0,-1271,-147,1722,197,-174
1113,0,257,-81,2235,163,-392
1115,0,58,-27,2132,174,-394
11
1119,0,232,-50,2071,54,-767
1121,0,-1271,-147,1722,197,-174
1123,0,257,-81,2235,163,-392
1125,0,58,-27,2132,174,-394
1127,0,103,-24,2191,77,-679
1129,0,232,-50,2071,54,-767
1131,0,-1271,-147,1722,197,-174
1133,0,257,-81,2235,163,-392
1135,0,58,-27,2132,174,-394
1137,0,103,-24,2191,77,-679
1139,0,232,-50,2071,54,-767
1141,0,-1271,-147,1722,197,-174
1143,0,257,-81,2235,163,-392
1145,0,58,-27,2132,174,-394
1147,0,103,-24,2191,77,-679
1149,0,232,-50,2071,54,-767
1151,0,-1271,-147,1722,197,-174
1153,0,257,-81,2235,163,-392
1155,0,58,-27,2132,174,-394
1157,0,103,-24,2191,77,-679
1159,0,232,-50,2071,54,-767
1161,0,-1271,-147,1722,197,-174
1163,0,257,-81,2235,163,-392
1165,0,58,-27,2132,174,-394
1167,0,103,-24,2191,77,-679
1169,0,232,-50,2071,54,-767
1171,0,-1271,-147,1722,197,-174
1173,0,257,-81,2235,163,-392
1175,0,58,-27,2132,174,-394
1177,0,103,-24,2191,77,-679
1179,0,232,-50,2071,54,-767
1181,0,-1271,-147,1722,197,-174
1183,0,257,-81,2235,163,-392
1185,0,58,-27,2132,174,-394
11
1189,0,232,-50,2071,54,-767
1191,0,-1271,-147,1722,197,-174
1193,0,257,-81,2235,163,-392
1195,0,58,-27,2132,174,-394
1197,0,103,-24,2191,77,-679
1199,0,232,-50,2071,54,-767
1201,0,-1271,-147,1722,197,-174
1203,0,257,-81,2235,163,-392
1205,0,58,-27,2132,174,-394
1207,0,103,-24,2191,77,-679
1209,0,232,-50,2071,54,-767
1211,0,-1271,-147,1722,197,-174
1213,0,257,-81,2235,163,-392
1215,0,58,-27,2132,174,-394
1217,0,103,-24,2191,77,-679
1219,0,232,-50,2071,54,-767
1221,0,-1271,-147,1722,197,-174
1223,0,257,-81,2235,163,-392
1225,0,58,-27,2132,174,-394
1227,0,103,-24,2191,77,-679
1229,0,232,-50,2071,54,-767
1231,0,-1271,-147,1722,197,-174
1233,0,257,-81,2235,163,-392
1235,0,58,-27,2132,174,-394
1237,0,103,-24,2191,77,-679
1239,0,232,-50,2071,54,-767
1241,0,-1271,-147,1722,197,-174
1243,0,257,-81,2235,163,-392
1245,0,58,-27,2132,174,-394
1247,0,103,-24,2191,77,-679
1249,0,232,-50,2071,54,-767
1251,0,-1271,-147,1722,197,-174
1253,0,257,-81,2235,163,-392
1255,0,58,-27,2132,174,-394
12
1259,0,232,-50,2071,54,-767
1261,0,-1271,-147,1722,197,-174
1263,0,257,-81,2235,163,-392
1265,0,58,-27,2132,174,-394
1267,0,103,-24,2191,77,-679
1269,0,232,-50,2071,54,-767
1271,0,-1271,-147,1722,197,-174
1273,0,257,-81,2235,163,-392
1275,0,58,-27,2132,174,-394
1277,0,103,-24,2191,77,-679
1279,0,232,-50,2071,54,-767
1281,0,-1271,-147,1722,197,-174
1283,0,257,-81,2235,163,-392
1285,0,58,-27,2132,174,-394
1287,0,103,-24,2191,77,-679
1289,0,232,-50,2071,54,-767
1291,0,-1271,-147,1722,197,-174
1293,0,257,-81,2235,163,-392
1295,0,58,-27,2132,174,-394
1297,0,103,-24,2191,77,-679
1299,0,232,-50,2071,54,-767
1301,0,-1271,-147,1722,197,-174
1303,0,257,-81,2235,163,-392
1305,0,58,-27,2132,174,-394
1307,0,103,-24,2191,77,-679
1309,0,232,-50,2071,54,-767
1311,0,-1271,-147,1722,197,-174
1313,0,257,-81,2235,163,-392
1315,0,58,-27,2132,174,-394
1317,0,103,-24,2191,77,-679
1319,0,232,-50,2071,54,-767
1321,0,-1271,-147,1722,197,-174
1323,0,257,-81,2235,163,-392
1325,0,58,-27,2132,174,-394
13
1329,0,232,-50,2071,54,-767
1331,0,-1271,-147,1722,197,-174
1333,0,257,-81,2235,163,-392
1335,0,58,-27,2132,174,-394
1337,0,103,-24,2191,77,-679
1339,0,232,-50,2071,54,-767
1341,0,-1271,-147,1722,197,-174
1343,0,257,-81,2235,163,-392
1345,0,58,-27,2132,174,-394
1347,0,103,-24,2191,77,-679
1349,0,232,-50,2071,54,-767
1351,0,-1271,-147,1722,197,-174
1353,0,257,-81,2235,163,-392
1355,0,58,-27,2132,174,-394
1357,0,103,-24,2191,77,-679
1359,0,232,-50,2071,54,-767
1361,0,-1271,-147,1722,197,-174
1363,0,257,-81,2235,163,-392
1365,0,58,-27,2132,174,-394
1367,0,103,-24,2191,77,-679
1369,0,232,-50,2071,54,-767
1371,0,-1271,-147,1722,197,-174
1373,0,257,-81,2235,163,-392
1375,0,58,-27,2132,174,-394
1377,0,103,-24,2191,77,-679
1379,0,232,-50,2071,54,-767
1381,0,-1271,-147,1722,197,-174
1383,0,257,-81,2235,163,-392
1385,0,58,-27,2132,174,-394
1387,0,103,-24,2191,77,-679
1389,0,232,-50,2071,54,-767
1391,0,-1271,-147,1722,197,-174
1393,0,257,-81,2235,163,-392
1395,0,58,-27,2132,174,-394
13
1399,0,232,-50,2071,54,-767
1401,0,-1271,-147,1722,197,-174
1403,0,257,-81,2235,163,-392
1405,0,58,-27,2132,174,-394
1407,0,103,-24,2191,77,-679
1409,0,232,-50,2071,54,-767
1411,0,-1271,-147,1722,197,-174
1413,0,257,-81,2235,163,-392
1415,0,58,-27,2132,174,-394
1417,0,103,-24,2191,77,-679
1419,0,232,-50,2071,54,-767
1421,0,-1271,-147,1722,197,-174
1423,0,257,-81,2235,163,-392
1425,0,58,-27,2132,174,-394
1427,0,103,-24,2191,77,-679
1429,0,232,-50,2071,54,-767
1431,0,-1271,-147,1722,197,-174
1433,0,257,-81,2235,163,-392
1435,0,58,-27,2132,174,-394
1437,0,103,-24,2191,77,-679
1439,0,232,-50,2071,54,-767
1441,0,-1271,-147,1722,197,-174
1443,0,257,-81,2235,163,-392
1445,0,58,-27,2132,174,-394
1447,0,103,-24,2191,77,-679
1449,0,232,-50,2071,54,-767
1451,0,-1271,-147,1722,197,-174
1453,0,257,-81,2235,163,-392
1455,0,58,-27,2132,174,-394
1457,0,103,-24,2191,77,-679
1459,0,232,-50,2071,54,-767
1461,0,-1271,-147,1722,197,-174
1463,0,257,-81,2235,163,-392
1465,0,58,-27,2132,174,-394
14
1469,0,232,-50,2071,54,-767
1471,0,-1271,-147,1722,197,-174
1473,0,257,-81,2235,163,-392
1475,0,58,-27,2132,174,-394
1477,0,103,-24,2191,77,-679
1479,0,232,-50,2071,54,-767
1481,0,-1271,-147,1722,197,-174
1483,0,257,-81,2235,163,-392
1485,0,58,-27,2132,174,-394
1487,0,103,-24,2191,77,-679
1489,0,232,-50,2071,54,-767
1491,0,-1271,-147,1722,197,-174
1493,0,257,-81,2235,163,-392
1495,0,58,-27,2132,174,-394
1497,0,103,-24,2191,77,-679
1499,0,232,-50,2071,54,-767
1501,0,-1271,-147,1722,197,-174
1503,0,257,-81,2235,163,-392
1505,0,58,-27,2132,174,-394
1507,0,103,-24,2191,77,-679
1509,0,232,-50,2071,54,-767
1511,0,-1271,-147,1722,197,-174
1513,0,257,-81,2235,163,-392
1515,0,58,-27,2132,174,-394
1517,0,103,-24,2191,77,-679
1519,0,232,-50,2071,54,-767
1521,0,-1271,-147,1722,197,-174
1523,0,257,-81,2235,163,-392
1525,0,58,-27,2132,174,-394
1527,0,103,-24,2191,77,-679
1529,0,232,-50,2071,54,-767
1531,0,-1271,-147,1722,197,-174
1533,0,257,-81,2235,163,-392
1535,0,58,-27,2132,174,-394
15
1539,0,232,-50,2071,54,-767
1541,0,-1271,-147,1722,197,-174
1543,0,257,-81,2235,163,-392
1545,0,58,-27,2132,174,-394
1547,0,103,-24,2191,77,-679
1549,0,232,-50,2071,54,-767
1551,0,-1271,-147,1722,197,-174
1553,0,257,-81,2235,163,-392
1555,0,58,-27,2132,174,-394
1557,0,103,-24,2191,77,-679
1559,0,232,-50,2071,54,-767
1561,0,-1271,-147,1722,197,-174
1563,0,257,-81,2235,163,-392
1565,0,58,-27,2132,174,-394
1567,0,103,-24,2191,77,-679
1569,0,232,-50,2071,54,-767
1571,0,-1271,-147,1722,197,-174
1573,0,257,-81,2235,163,-392
1575,0,58,-27,2132,174,-394
1577,0,103,-24,2191,77,-679
1579,0,232,-50,2071,54,-767
1581,0,-1271,-147,1722,197,-174
1583,0,257,-81,2235,163,-392
1585,0,58,-27,2132,174,-394
1587,0,103,-24,2191,77,-679
1589,0,232,-50,2071,54,-767
1591,0,-1271,-147,1722,197,-174
1593,0,257,-81,2235,163,-392
1595,0,58,-27,2132,174,-394
1597,0,103,-24,2191,77,-679
1599,0,232,-50,2071,54,-767
1601,0,-1271,-147,1722,197,-174
